name,ExtendedData/Data/0/value,ExtendedData/Data/0/_name,ExtendedData/Data/1/value,ExtendedData/Data/1/_name,ExtendedData/Data/2/value,ExtendedData/Data/2/_name,ExtendedData/Data/3/value,ExtendedData/Data/3/_name,ExtendedData/Data/4/value,ExtendedData/Data/4/_name,ExtendedData/Data/5/value,ExtendedData/Data/5/_name,ExtendedData/Data/6/value,ExtendedData/Data/6/_name,ExtendedData/Data/7/value,ExtendedData/Data/7/_name,longitude,latitude,ExtendedData/Data/8/value,ExtendedData/Data/8/_name,ExtendedData/Data/9/value,ExtendedData/Data/9/_name,ExtendedData/Data/10/value,ExtendedData/Data/10/_name,ExtendedData/Data/11/value,ExtendedData/Data/11/_name,ExtendedData/Data/12/value,ExtendedData/Data/12/_name,ExtendedData/Data/13/value,ExtendedData/Data/13/_name,ExtendedData/Data/14/value,ExtendedData/Data/14/_name,ExtendedData/Data/15/value,ExtendedData/Data/15/_name,ExtendedData/Data/16/value,ExtendedData/Data/16/_name,ExtendedData/Data/17/value,ExtendedData/Data/17/_name,ExtendedData/Data/18/value,ExtendedData/Data/18/_name,description
Northeast Junior High School,node/353958457,@id,school,amenity,229,ele,081,gnis:county_id,04/14/1980,gnis:created,633679,gnis:feature_id,26,gnis:state_id,Northeast Junior High School,name,-85.637808,42.9903044,,,,,,,,,,,,,,,,,,,,,,,
Protestant Reformed School,node/353958582,@id,school,amenity,221,ele,081,gnis:county_id,04/14/1980,gnis:created,635493,gnis:feature_id,26,gnis:state_id,Protestant Reformed School,name,-85.639198,42.9378053,,,,,,,,,,,,,,,,,,,,,,,
Oakleigh School,node/353959131,@id,school,amenity,230,ele,081,gnis:county_id,04/14/1980,gnis:created,633889,gnis:feature_id,26,gnis:state_id,Oakleigh School,name,-85.7228112,42.9808587,,,,,,,,,,,,,,,,,,,,,,,
Oakview School,node/353959385,@id,school,amenity,211,ele,081,gnis:county_id,04/14/1980,gnis:created,633903,gnis:feature_id,26,gnis:state_id,Oakview School,name,-85.6353095,43.0361374,,,,,,,,,,,,,,,,,,,,,,,
Our Lady of Sorrows School,node/353959936,@id,school,amenity,202,ele,081,gnis:county_id,04/14/1980,gnis:created,634213,gnis:feature_id,26,gnis:state_id,Our Lady of Sorrows School,name,-85.6653078,42.9422492,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Palmer School,node/353960420,@id,school,amenity,204,ele,081,gnis:county_id,04/14/1980,gnis:created,634324,gnis:feature_id,26,gnis:state_id,Palmer School,name,-85.6614202,42.9947483,,,,,,,,,,,,,,,,,,,,,,,
Parkview School,node/353960512,@id,school,amenity,189,ele,081,gnis:county_id,04/14/1980,gnis:created,634411,gnis:feature_id,26,gnis:state_id,Parkview School,name,-85.7169759,42.9239155,,,,,,,,,,,,,,,,,,,,,,,
Pearsall School,node/353960899,@id,school,amenity,239,ele,081,gnis:county_id,04/14/1980,gnis:created,634533,gnis:feature_id,26,gnis:state_id,Pearsall School,name,-85.7478149,43.0586354,,,,,,,,,,,,,,,,,,,,,,,
Plymouth School,node/353961457,@id,school,amenity,234,ele,081,gnis:county_id,04/14/1980,gnis:created,635154,gnis:feature_id,26,gnis:state_id,Plymouth School,name,-85.6258628,42.980027,,,,,,,,,,,,,,,,,,,,,,,
River Bend School,node/353962697,@id,school,amenity,207,ele,139,gnis:county_id,04/14/1980,gnis:created,635957,gnis:feature_id,26,gnis:state_id,River Bend School,name,-85.7842013,42.9361366,,,,,,,,,,,,,,,,,,,,,,,
River Bend School,node/353962701,@id,school,amenity,208,ele,139,gnis:county_id,04/14/1980,gnis:created,635956,gnis:feature_id,26,gnis:state_id,River Bend School,name,-85.7842012,42.9358588,,,,,,,,,,,,,,,,,,,,,,,
Rogers Lane School,node/353962985,@id,school,amenity,208,ele,081,gnis:county_id,04/14/1980,gnis:created,636120,gnis:feature_id,26,gnis:state_id,Rogers Lane School,name,-85.6908634,42.9108605,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Wyoming High School,node/353962999,@id,school,amenity,207,ele,081,gnis:county_id,04/14/1980,gnis:created,636119,gnis:feature_id,26,gnis:state_id,Wyoming High School,name,-85.6989193,42.9097493,yes,wheelchair,Q8040339,wikidata,,,,,,,,,,,,,,,,,,,
Sacred Heart School,node/353963366,@id,school,amenity,185,ele,081,gnis:county_id,04/14/1980,gnis:created,636471,gnis:feature_id,26,gnis:state_id,Sacred Heart School,name,-85.6980874,42.9605818,,,,,,,,,,,,,,,,,,,,,,,
Saint Alphonsus School,node/353964838,@id,school,amenity,213,ele,081,gnis:county_id,04/14/1980,gnis:created,636520,gnis:feature_id,26,gnis:state_id,Saint Alphonsus School,name,-85.6628089,42.9850263,,,,,,,,,,,,,,,,,,,,,,,
Saint Adalberts School,node/353965024,@id,school,amenity,186,ele,081,gnis:county_id,04/14/1980,gnis:created,636510,gnis:feature_id,26,gnis:state_id,Saint Adalberts School,name,-85.6847539,42.9758594,,,,,,,,,,,,,,,,,,,,,,,
Saint Anthonys School,node/353965256,@id,school,amenity,228,ele,081,gnis:county_id,04/14/1980,gnis:created,636550,gnis:feature_id,26,gnis:state_id,Saint Anthonys School,name,-85.7317244,42.9958151,,,,,,,,,,,,,,,,,,,,,,,
Saint Isadores School,node/353966408,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,636679,gnis:feature_id,26,gnis:state_id,Saint Isadores School,name,-85.6436411,42.9744712,,,,,,,,,,,,,,,,,,,,,,,
Saint Francis Xavier School,node/353966724,@id,school,amenity,203,ele,081,gnis:county_id,04/14/1980,gnis:created,636648,gnis:feature_id,26,gnis:state_id,Saint Francis Xavier School,name,-85.661822,42.9317147,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Saint John Vianney School,node/353967439,@id,school,amenity,208,ele,081,gnis:county_id,04/14/1980,gnis:created,636716,gnis:feature_id,26,gnis:state_id,Saint John Vianney School,name,-85.685307,42.8897499,,,,,,,,,,,,,,,,,,,,,,,
All Saints Academy Upper Campus,node/353968094,@id,school,amenity,211,ele,081,gnis:county_id,04/14/1980,gnis:created,636815,gnis:feature_id,26,gnis:state_id,All Saints Academy Upper Campus,name,-85.6422539,43.0275262,,,,,,,,,,,,,,,,,,,,,,,
Saint Joseph School,node/353968313,@id,school,amenity,194,ele,081,gnis:county_id,04/14/1980,gnis:created,636793,gnis:feature_id,26,gnis:state_id,Saint Joseph School,name,-85.6758639,42.9497489,,,,,,,,,,,,,,,,,,,,,,,
Saint Mary Magdalena School,node/353969206,@id,school,amenity,217,ele,081,gnis:county_id,04/14/1980,gnis:created,636868,gnis:feature_id,26,gnis:state_id,Saint Mary Magdalena School,name,-85.633056,42.8700466,yes,wheelchair,,,,,,,,,,,,,,,,,,,,,
Sylvan School,node/353969713,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,1614520,gnis:feature_id,26,gnis:state_id,Sylvan School,name,-85.6280837,42.9303056,Q7660663,not:brand:wikidata,,,,,,,,,,,,,,,,,,,,,
Sylvan Junior High School,node/353969719,@id,school,amenity,235,ele,081,gnis:county_id,04/14/1980,gnis:created,1614517,gnis:feature_id,26,gnis:state_id,Sylvan Junior High School,name,-85.6269724,42.9289168,Q7660663,not:brand:wikidata,,,,,,,,,,,,,,,,,,,,,
Taft School,node/353969743,@id,school,amenity,192,ele,081,gnis:county_id,04/14/1980,gnis:created,1614543,gnis:feature_id,26,gnis:state_id,Taft School,name,-85.7111421,42.9153046,,,,,,,,,,,,,,,,,,,,,,,
Saint Marys School,node/353969939,@id,school,amenity,186,ele,081,gnis:county_id,04/14/1980,gnis:created,636920,gnis:feature_id,26,gnis:state_id,Saint Marys School,name,-85.6794758,42.9722484,,,,,,,,,,,,,,,,,,,,,,,
Saint Thomas the Apostle Catholic School,node/353971016,@id,school,amenity,226,ele,081,gnis:county_id,04/14/1980,gnis:created,637078,gnis:feature_id,26,gnis:state_id,Saint Thomas the Apostle Catholic School,name,-85.634083,42.9612518,,,,,,,,,,,,,,,,,,,,,,,
Shack Huddle School,node/353973320,@id,school,amenity,194,ele,139,gnis:county_id,04/14/1980,gnis:created,637623,gnis:feature_id,26,gnis:state_id,Shack Huddle School,name,-85.8322565,42.8619707,,,,,,,,,,,,,,,,,,,,,,,
Shawnee Park School,node/353973326,@id,school,amenity,236,ele,081,gnis:county_id,04/14/1980,gnis:created,637697,gnis:feature_id,26,gnis:state_id,Shawnee Park School,name,-85.6164164,42.9261392,,,,,,,,,,,,,,,,,,,,,,,
Shawmut Hills School,node/353973369,@id,school,amenity,232,ele,081,gnis:county_id,04/14/1980,gnis:created,637694,gnis:feature_id,26,gnis:state_id,Shawmut Hills School,name,-85.7289224,42.9747476,,,,,,,,,,,,,,,,,,,,,,,
Sheldon School,node/353973393,@id,school,amenity,202,ele,081,gnis:county_id,04/14/1980,gnis:created,637724,gnis:feature_id,26,gnis:state_id,Sheldon School,name,-85.6653079,42.9455826,,,,,,,,,,,,,,,,,,,,,,,
Simons School,node/353974114,@id,school,amenity,237,ele,081,gnis:county_id,04/14/1980,gnis:created,637982,gnis:feature_id,26,gnis:state_id,Simons School,name,-85.7211456,43.0153028,,,,,,,,,,,,,,,,,,,,,,,
Sibley School,node/353974222,@id,Grand Rapids,addr:city,943,addr:housenumber,49504,addr:postcode,Sibley Street Northwest,addr:street,school,amenity,185,ele,081,gnis:county_id,-85.6919762,42.9678039,04/14/1980,gnis:created,637871,gnis:feature_id,26,gnis:state_id,Sibley School,name,,,,,,,,,,,,,,,
Sigsbee School,node/353974226,@id,school,amenity,229,ele,081,gnis:county_id,04/14/1980,gnis:created,637894,gnis:feature_id,26,gnis:state_id,Sigsbee School,name,-85.6375292,42.954194,,,,,,,,,,,,,,,,,,,,,,,
South Godwin School,node/353975210,@id,school,amenity,206,ele,081,gnis:county_id,04/14/1980,gnis:created,638356,gnis:feature_id,26,gnis:state_id,South Godwin School,name,-85.6630839,42.8880837,,,,,,,,,,,,,,,,,,,,,,,
South High School,node/353975444,@id,school,amenity,204,ele,081,gnis:county_id,04/14/1980,gnis:created,638364,gnis:feature_id,26,gnis:state_id,South High School,name,-85.6644743,42.9408604,,,,,,,,,,,,,,,,,,,,,,,
